162; Fornec162; 122; 23853; 1;11/03/2023; 09/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
163; Fornec163; 122; 23861; 1;11/03/2023; 09/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
164; Fornec164; 122; 23863; 1;11/03/2023; 09/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
165; Fornec165; 122; 23865; 1;11/03/2023; 09/03/2023; 31/12/2023; 402,78; 402,78; 20/03/2023
166; Fornec166; 122; 23866; 1;11/03/2023; 09/03/2023; 31/12/2023; 546,99; 546,99; 20/03/2023
167; Fornec167; 122; 23867; 1;11/03/2023; 09/03/2023; 31/12/2023; 386,82; 386,82; 20/03/2023
168; Fornec168; 122; 23869; 1;11/03/2023; 09/03/2023; 31/12/2023; 289,29; 289,29; 20/03/2023
169; Fornec169; 122; 23889; 1;11/03/2023; 10/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
170; Fornec170; 122; 23890; 1;11/03/2023; 10/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
171; Fornec171; 122; 23891; 1;11/03/2023; 10/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
172; Fornec172; 122; 23897; 1;11/03/2023; 10/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
173; Fornec173; 122; 23899; 1;11/03/2023; 10/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
174; Fornec174; 122; 23914; 1;11/03/2023; 10/03/2023; 31/12/2023; 2465,75; 2465,75; 20/03/2023
175; Fornec175; 122; 23919; 1;11/03/2023; 10/03/2023; 31/12/2023; 724,23; 724,23; 20/03/2023
176; Fornec176; 122; 23925; 1;11/03/2023; 10/03/2023; 31/12/2023; 604,46; 604,46; 20/03/2023
332; Fornec332; 122; 2737; 1;08/03/2023; 01/03/2023; 31/12/2023; 8373,6; 8373,6; 20/03/2023
333; Fornec333; 122; 2742; 1;08/03/2023; 02/03/2023; 31/12/2023; 6159,6; 6159,6; 20/03/2023
334; Fornec334; 122; 2741; 1;08/03/2023; 02/03/2023; 31/12/2023; 8454,6; 8454,6; 20/03/2023
335; Fornec335; 122; 2756; 1;08/03/2023; 04/03/2023; 31/12/2023; 8400,6; 8400,6; 20/03/2023
336; Fornec336; 122; 2757; 1;08/03/2023; 04/03/2023; 31/12/2023; 6525; 6525; 20/03/2023
337; Fornec337; 122; 2759; 1;08/03/2023; 04/03/2023; 31/12/2023; 8382,6; 8382,6; 20/03/2023
338; Fornec338; 122; 2758; 1;08/03/2023; 04/03/2023; 31/12/2023; 6085,8; 6085,8; 20/03/2023
339; Fornec339; 122; 2764; 1;10/03/2023; 06/03/2023; 31/12/2023; 8316; 8316; 20/03/2023
340; Fornec340; 122; 2772; 1;10/03/2023; 06/03/2023; 31/12/2023; 6508,8; 6508,8; 20/03/2023
341; Fornec341; 122; 2771; 1;10/03/2023; 06/03/2023; 31/12/2023; 6559,2; 6559,2; 20/03/2023
46; Fornec46; 450; 23331; 1;03/03/2023; 27/02/2023; 31/12/2023; 889,69; 889,69; 20/03/2023
52; Fornec52; 450; 23438; 1;03/03/2023; 01/03/2023; 31/12/2023; 1117,84; 1117,84; 20/03/2023
53; Fornec53; 450; 23448; 1;03/03/2023; 01/03/2023; 31/12/2023; 1421,4; 1421,4; 20/03/2023
54; Fornec54; 450; 23116; 1;23/02/2023; 21/02/2023; 31/12/2023; 610,94; 610,94; 20/03/2023
55; Fornec55; 450; 23138; 1;02/03/2023; 22/02/2023; 31/12/2023; 923,1; 923,1; 20/03/2023
56; Fornec56; 450; 23140; 1;02/03/2023; 22/02/2023; 31/12/2023; 798,05; 798,05; 20/03/2023
57; Fornec57; 450; 23197; 1;02/03/2023; 23/02/2023; 31/12/2023; 639,58; 639,58; 20/03/2023
58; Fornec58; 450; 23143; 1;02/03/2023; 22/02/2023; 31/12/2023; 294,97; 294,97; 20/03/2023
59; Fornec59; 450; 23181; 1;02/03/2023; 23/02/2023; 31/12/2023; 1033,83; 1033,83; 20/03/2023
60; Fornec60; 450; 23210; 1;02/03/2023; 24/02/2023; 31/12/2023; 798,05; 798,05; 20/03/2023
61; Fornec61; 450; 23209; 1;02/03/2023; 24/02/2023; 31/12/2023; 947,44; 947,44; 20/03/2023
62; Fornec62; 450; 23211; 1;02/03/2023; 24/02/2023; 31/12/2023; 633,38; 633,38; 20/03/2023
63; Fornec63; 450; 23212; 1;02/03/2023; 24/02/2023; 31/12/2023; 1149,34; 1149,34; 20/03/2023
